timestep,actual_temp,controlled_temp,actual_load,predicted_temp,action,effective_load
117,72.76,72.76,56.53,72.76,none,56.53
118,72.01,72.01,57.53,72.01,none,57.53
119,71.98,71.98,57.79,71.98,none,57.79
120,72.55,72.55,56.59,72.55,none,56.59
121,72.31,72.31,55.82,72.31,none,55.82
122,72.1,72.1,57.87,72.1,none,57.87
123,71.94,71.94,59.73,71.94,none,59.73
124,73.68,73.68,58.04,73.68,none,58.04
125,72.82,72.82,62.38,72.82,none,62.38
126,73.95,73.95,67.1,73.95,none,67.1
127,74.29,74.29,71.41,74.29,none,71.41
128,75.96,75.96,77.86,75.96,none,77.86
129,78.79,78.79,80.56,78.79,none,80.56
130,80.04,80.04,79.54,80.04,throttle,39.77
131,81.0,79.13333333333334,79.27,79.13333333333334,none,79.27
132,81.84,80.10666666666667,81.26,80.10666666666667,throttle,40.63
133,82.93,79.46333333333335,82.44,79.46333333333335,none,82.44
134,83.66,80.46,81.45,80.46,throttle,40.725
135,84.25,79.45000000000002,80.78,79.45000000000002,none,80.78
136,84.52,80.11999999999999,68.55,80.11999999999999,throttle,34.275
137,82.64,76.77333333333335,55.06,76.77333333333335,none,55.06
138,80.01,74.67666666666666,42.67,74.67666666666666,none,42.67
139,76.03,71.23000000000002,30.11,71.23000000000002,none,30.11
140,72.03,67.76333333333332,14.21,67.76333333333332,none,14.21
141,68.05,64.31666666666668,12.55,64.31666666666668,none,12.55
142,64.68,61.480000000000004,14.93,61.480000000000004,none,14.93
143,62.8,60.13333333333333,14.13,60.13333333333333,none,14.13
144,59.7,57.56666666666668,16.35,57.56666666666668,none,16.35
145,57.68,56.080000000000005,14.48,56.080000000000005,none,14.48
146,55.91,54.71,13.1,54.71,none,13.1
147,53.96,53.160000000000004,14.66,53.160000000000004,none,14.66
148,52.55,52.016666666666666,13.56,52.016666666666666,none,13.56
149,50.74,50.473333333333336,17.26,50.473333333333336,none,17.26
150,49.7,49.56666666666667,15.92,49.56666666666667,none,15.92
151,48.71,48.71,16.13,48.71,none,16.13
152,48.47,48.47,16.0,48.47,none,16.0
153,47.51,47.51,16.36,47.51,none,16.36
154,46.47,46.47,16.71,46.47,none,16.71
155,46.49,46.49,14.71,46.49,none,14.71
156,45.97,45.97,13.65,45.97,none,13.65
157,45.04,45.04,14.34,45.04,none,14.34
158,44.92,44.92,15.3,44.92,none,15.3
159,44.82,44.82,12.28,44.82,none,12.28
160,43.96,43.96,16.73,43.96,none,16.73
161,44.28,44.28,13.08,44.28,none,13.08
162,43.95,43.95,16.07,43.95,none,16.07
163,43.23,43.23,15.15,43.23,none,15.15
164,43.54,43.54,15.7,43.54,none,15.7
165,43.45,43.45,14.79,43.45,none,14.79
166,42.92,42.92,15.61,42.92,none,15.61
167,42.84,42.84,14.79,42.84,none,14.79
168,42.56,42.56,14.69,42.56,none,14.69
169,42.69,42.69,14.28,42.69,none,14.28
170,42.79,42.79,17.18,42.79,none,17.18
171,42.51,42.51,15.79,42.51,none,15.79
172,42.07,42.07,15.61,42.07,none,15.61
173,42.34,42.34,14.3,42.34,none,14.3
174,42.4,42.4,15.07,42.4,none,15.07
175,42.86,42.86,14.17,42.86,none,14.17
176,42.73,42.73,14.76,42.73,none,14.76
177,42.8,42.8,13.9,42.8,none,13.9
178,42.14,42.14,17.26,42.14,none,17.26
179,42.47,42.47,14.45,42.47,none,14.45
180,41.43,41.43,14.3,41.43,none,14.3
181,42.55,42.55,13.76,42.55,none,13.76
182,42.61,42.61,14.43,42.61,none,14.43
183,42.21,42.21,14.76,42.21,none,14.76
184,42.45,42.45,15.29,42.45,none,15.29
185,41.72,41.72,14.58,41.72,none,14.58
186,42.0,42.0,13.43,42.0,none,13.43
187,42.62,42.62,13.54,42.62,none,13.54
188,42.51,42.51,16.17,42.51,none,16.17
189,42.13,42.13,15.21,42.13,none,15.21
190,42.62,42.62,16.13,42.62,none,16.13
191,42.34,42.34,16.29,42.34,none,16.29
192,42.08,42.08,15.54,42.08,none,15.54
193,42.21,42.21,13.88,42.21,none,13.88
194,42.09,42.09,15.58,42.09,none,15.58
195,41.8,41.8,17.03,41.8,none,17.03
196,42.77,42.77,14.82,42.77,none,14.82
197,42.04,42.04,15.76,42.04,none,15.76
198,41.93,41.93,15.34,41.93,none,15.34
199,41.65,41.65,17.0,41.65,none,17.0
200,41.21,41.21,14.54,41.21,none,14.54
201,42.54,42.54,16.74,42.54,none,16.74
202,42.58,42.58,14.9,42.58,none,14.9
203,42.74,42.74,14.52,42.74,none,14.52
204,42.2,42.2,15.49,42.2,none,15.49
205,42.13,42.13,15.76,42.13,none,15.76
206,42.05,42.05,17.65,42.05,none,17.65
207,42.09,42.09,15.74,42.09,none,15.74
208,42.7,42.7,15.59,42.7,none,15.59
209,42.25,42.25,17.27,42.25,none,17.27
210,42.41,42.41,16.08,42.41,none,16.08
211,42.08,42.08,14.58,42.08,none,14.58
212,42.78,42.78,16.98,42.78,none,16.98
213,41.49,41.49,14.47,41.49,none,14.47
214,41.77,41.77,14.57,41.77,none,14.57
215,42.41,42.41,14.34,42.41,none,14.34
216,42.95,42.95,14.23,42.95,none,14.23
217,42.16,42.16,15.75,42.16,none,15.75
218,41.92,41.92,15.04,41.92,none,15.04
219,42.65,42.65,11.18,42.65,none,11.18
220,42.38,42.38,15.03,42.38,none,15.03
221,42.77,42.77,14.73,42.77,none,14.73
222,41.74,41.74,16.43,41.74,none,16.43
223,42.74,42.74,14.68,42.74,none,14.68
224,41.63,41.63,18.4,41.63,none,18.4
225,42.46,42.46,20.78,42.46,none,20.78
226,43.34,43.34,22.38,43.34,none,22.38
227,44.11,44.11,27.98,44.11,none,27.98
228,45.54,45.54,30.98,45.54,none,30.98
229,45.66,45.66,34.38,45.66,none,34.38
230,47.56,47.56,35.06,47.56,none,35.06
231,48.96,48.96,34.16,48.96,none,34.16
232,49.36,49.36,34.39,49.36,none,34.39
233,49.62,49.62,35.09,49.62,none,35.09
234,51.14,51.14,36.56,51.14,none,36.56
235,51.05,51.05,34.4,51.05,none,34.4
236,51.48,51.48,33.56,51.48,none,33.56
237,51.87,51.87,31.66,51.87,none,31.66
238,52.55,52.55,36.45,52.55,none,36.45
239,53.04,53.04,33.78,53.04,none,33.78
240,52.75,52.75,34.74,52.75,none,34.74
241,53.09,53.09,36.39,53.09,none,36.39
242,53.46,53.46,34.37,53.46,none,34.37
243,53.55,53.55,33.87,53.55,none,33.87
244,54.12,54.12,35.8,54.12,none,35.8
245,54.4,54.4,34.65,54.4,none,34.65
246,54.48,54.48,34.8,54.48,none,34.8
247,54.6,54.6,32.27,54.6,none,32.27
248,55.28,55.28,35.55,55.28,none,35.55
249,54.86,54.86,34.55,54.86,none,34.55
250,55.09,55.09,32.45,55.09,none,32.45
251,54.67,54.67,34.68,54.67,none,34.68
252,55.28,55.28,31.62,55.28,none,31.62
253,54.77,54.77,36.91,54.77,none,36.91
254,55.16,55.16,32.78,55.16,none,32.78
255,54.49,54.49,36.03,54.49,none,36.03
256,55.14,55.14,33.12,55.14,none,33.12
257,54.71,54.71,34.77,54.71,none,34.77
258,55.5,55.5,33.01,55.5,none,33.01
259,55.5,55.5,35.3,55.5,none,35.3
260,54.98,54.98,33.82,54.98,none,33.82
261,56.01,56.01,34.66,56.01,none,34.66
262,55.09,55.09,34.12,55.09,none,34.12
263,54.57,54.57,32.46,54.57,none,32.46
264,54.92,54.92,34.7,54.92,none,34.7
265,54.82,54.82,33.5,54.82,none,33.5
266,55.4,55.4,35.35,55.4,none,35.35
267,54.76,54.76,33.82,54.76,none,33.82
268,55.05,55.05,34.01,55.05,none,34.01
269,55.4,55.4,36.12,55.4,none,36.12
270,55.33,55.33,36.96,55.33,none,36.96
271,55.28,55.28,35.04,55.28,none,35.04
272,55.33,55.33,33.76,55.33,none,33.76
273,55.14,55.14,33.65,55.14,none,33.65
274,54.65,54.65,33.12,54.65,none,33.12
275,55.13,55.13,33.35,55.13,none,33.35
276,55.48,55.48,33.77,55.48,none,33.77
277,55.24,55.24,36.46,55.24,none,36.46
278,55.46,55.46,33.86,55.46,none,33.86
279,55.07,55.07,32.63,55.07,none,32.63
280,55.7,55.7,34.15,55.7,none,34.15
281,54.28,54.28,34.31,54.28,none,34.31
282,55.36,55.36,34.14,55.36,none,34.14
283,55.85,55.85,35.06,55.85,none,35.06
284,55.91,55.91,34.18,55.91,none,34.18
285,55.22,55.22,35.02,55.22,none,35.02
286,54.78,54.78,33.16,54.78,none,33.16
287,55.86,55.86,36.24,55.86,none,36.24
288,55.29,55.29,34.4,55.29,none,34.4
289,55.25,55.25,34.58,55.25,none,34.58
290,54.95,54.95,33.16,54.95,none,33.16
291,54.81,54.81,34.67,54.81,none,34.67
292,55.54,55.54,34.88,55.54,none,34.88
293,55.58,55.58,32.7,55.58,none,32.7
294,55.39,55.39,32.11,55.39,none,32.11
295,55.01,55.01,34.45,55.01,none,34.45
296,54.89,54.89,33.51,54.89,none,33.51
297,54.74,54.74,34.41,54.74,none,34.41
298,55.09,55.09,32.55,55.09,none,32.55
299,54.91,54.91,32.23,54.91,none,32.23
300,54.63,54.63,34.35,54.63,none,34.35
301,55.57,55.57,33.68,55.57,none,33.68
302,55.29,55.29,37.27,55.29,none,37.27
303,57.18,57.18,47.11,57.18,none,47.11
304,58.3,58.3,49.63,58.3,none,49.63
305,59.98,59.98,59.99,59.98,none,59.99
306,62.56,62.56,61.85,62.56,none,61.85
307,63.16,63.16,63.08,63.16,none,63.08
308,65.58,65.58,64.58,65.58,none,64.58
309,66.47,66.47,64.38,66.47,none,64.38
310,68.81,68.81,64.99,68.81,none,64.99
311,68.67,68.67,60.78,68.67,none,60.78
312,69.52,69.52,61.24,69.52,none,61.24
313,70.7,70.7,62.87,70.7,none,62.87
314,71.15,71.15,63.61,71.15,none,63.61
315,71.54,71.54,62.59,71.54,none,62.59
316,71.99,71.99,60.64,71.99,none,60.64
317,73.43,73.43,63.2,73.43,none,63.2
318,72.79,72.79,62.37,72.79,none,62.37
319,73.7,73.7,62.36,73.7,none,62.36
320,74.35,74.35,59.87,74.35,none,59.87
321,74.64,74.64,63.56,74.64,none,63.56
322,74.2,74.2,62.78,74.2,none,62.78
323,74.57,74.57,64.76,74.57,none,64.76
324,74.67,74.67,62.51,74.67,none,62.51
325,74.38,74.38,63.28,74.38,none,63.28
326,75.35,75.35,63.6,75.35,none,63.6
327,75.27,75.27,60.51,75.27,none,60.51
328,75.94,75.94,65.74,75.94,none,65.74
329,75.13,75.13,62.09,75.13,none,62.09
330,75.98,75.98,63.2,75.98,none,63.2
331,76.08,76.08,63.37,76.08,none,63.37
332,75.7,75.7,61.63,75.7,none,61.63
333,74.86,74.86,64.82,74.86,none,64.82
334,75.58,75.58,62.92,75.58,none,62.92
335,76.54,76.54,62.35,76.54,none,62.35
336,75.98,75.98,62.77,75.98,none,62.77
337,76.17,76.17,63.52,76.17,none,63.52
338,75.88,75.88,62.62,75.88,none,62.62
339,75.86,75.86,63.66,75.86,none,63.66
340,75.22,75.22,60.58,75.22,none,60.58
341,76.3,76.3,61.71,76.3,none,61.71
342,76.43,76.43,60.04,76.43,none,60.04
343,75.64,75.64,65.0,75.64,none,65.0
344,75.96,75.96,64.98,75.96,none,64.98
345,75.92,75.92,63.35,75.92,none,63.35
346,76.22,76.22,61.39,76.22,none,61.39
347,75.84,75.84,65.47,75.84,none,65.47
348,76.44,76.44,61.88,76.44,none,61.88
349,76.1,76.1,62.35,76.1,none,62.35
350,75.06,75.06,62.79,75.06,none,62.79
351,76.26,76.26,63.14,76.26,none,63.14
352,76.49,76.49,63.38,76.49,none,63.38
353,75.63,75.63,63.42,75.63,none,63.42
354,76.26,76.26,62.43,76.26,none,62.43
355,76.83,76.83,63.4,76.83,none,63.4
356,76.15,76.15,62.38,76.15,none,62.38
357,76.56,76.56,63.3,76.56,none,63.3
358,75.93,75.93,63.2,75.93,none,63.2
359,76.1,76.1,63.52,76.1,none,63.52
360,76.03,76.03,63.37,76.03,none,63.37
361,75.95,75.95,62.07,75.95,none,62.07
362,76.05,76.05,63.15,76.05,none,63.15
363,75.46,75.46,63.39,75.46,none,63.39
364,75.98,75.98,61.05,75.98,none,61.05
365,76.65,76.65,62.27,76.65,none,62.27
366,75.73,75.73,63.33,75.73,none,63.33
367,75.69,75.69,64.65,75.69,none,64.65
368,76.14,76.14,63.59,76.14,none,63.59
369,76.16,76.16,64.73,76.16,none,64.73
370,76.27,76.27,62.12,76.27,none,62.12
371,76.07,76.07,62.9,76.07,none,62.9
372,76.15,76.15,63.57,76.15,none,63.57
373,75.98,75.98,59.81,75.98,none,59.81
374,75.61,75.61,64.42,75.61,none,64.42
375,76.09,76.09,60.37,76.09,none,60.37
376,76.41,76.41,63.8,76.41,none,63.8
377,76.32,76.32,63.43,76.32,none,63.43
378,75.42,75.42,59.8,75.42,none,59.8
379,76.22,76.22,59.86,76.22,none,59.86
380,75.51,75.51,61.68,75.51,none,61.68
381,75.97,75.97,58.77,75.97,none,58.77
382,74.89,74.89,53.61,74.89,none,53.61
383,74.31,74.31,50.96,74.31,none,50.96
384,73.0,73.0,49.99,73.0,none,49.99
385,72.14,72.14,49.36,72.14,none,49.36
386,72.03,72.03,50.64,72.03,none,50.64
387,71.18,71.18,49.95,71.18,none,49.95
388,70.28,70.28,51.27,70.28,none,51.27
389,69.67,69.67,50.54,69.67,none,50.54
390,68.64,68.64,50.24,68.64,none,50.24
391,69.08,69.08,48.95,69.08,none,48.95
392,68.57,68.57,48.86,68.57,none,48.86
393,68.55,68.55,49.31,68.55,none,49.31
394,68.43,68.43,51.58,68.43,none,51.58
395,68.36,68.36,48.89,68.36,none,48.89
396,67.81,67.81,49.69,67.81,none,49.69
397,67.08,67.08,46.68,67.08,none,46.68
398,66.5,66.5,50.18,66.5,none,50.18
399,66.9,66.9,52.08,66.9,none,52.08
400,67.65,67.65,48.25,67.65,none,48.25
401,67.75,67.75,53.18,67.75,none,53.18
402,66.84,66.84,49.59,66.84,none,49.59
403,66.27,66.27,46.29,66.27,none,46.29
404,66.53,66.53,48.91,66.53,none,48.91
405,67.19,67.19,50.97,67.19,none,50.97
406,66.44,66.44,51.77,66.44,none,51.77
407,66.87,66.87,50.23,66.87,none,50.23
408,66.67,66.67,51.25,66.67,none,51.25
409,66.85,66.85,47.96,66.85,none,47.96
410,67.26,67.26,48.56,67.26,none,48.56
411,66.74,66.74,47.36,66.74,none,47.36
412,66.55,66.55,48.65,66.55,none,48.65
413,67.24,67.24,50.29,67.24,none,50.29
414,66.59,66.59,49.63,66.59,none,49.63
415,66.12,66.12,50.41,66.12,none,50.41
416,66.7,66.7,48.25,66.7,none,48.25
417,66.59,66.59,48.32,66.59,none,48.32
418,66.28,66.28,49.62,66.28,none,49.62
419,66.18,66.18,48.65,66.18,none,48.65
420,66.26,66.26,50.94,66.26,none,50.94
421,66.16,66.16,48.62,66.16,none,48.62
422,66.26,66.26,48.78,66.26,none,48.78
423,66.03,66.03,49.88,66.03,none,49.88
424,66.51,66.51,48.91,66.51,none,48.91
425,66.48,66.48,47.89,66.48,none,47.89
426,66.49,66.49,48.05,66.49,none,48.05
427,66.32,66.32,50.02,66.32,none,50.02
428,66.28,66.28,47.74,66.28,none,47.74
429,66.92,66.92,51.05,66.92,none,51.05
430,66.37,66.37,48.54,66.37,none,48.54
431,66.85,66.85,50.11,66.85,none,50.11
432,65.94,65.94,48.62,65.94,none,48.62
433,66.57,66.57,48.27,66.57,none,48.27
434,66.04,66.04,49.67,66.04,none,49.67
435,66.11,66.11,50.64,66.11,none,50.64
436,66.17,66.17,49.08,66.17,none,49.08
437,66.14,66.14,49.29,66.14,none,49.29
438,66.14,66.14,50.34,66.14,none,50.34
439,66.82,66.82,50.38,66.82,none,50.38
440,66.35,66.35,49.33,66.35,none,49.33
441,66.42,66.42,48.84,66.42,none,48.84
442,66.15,66.15,49.47,66.15,none,49.47
443,66.67,66.67,49.14,66.67,none,49.14
444,66.47,66.47,49.75,66.47,none,49.75
445,66.21,66.21,47.94,66.21,none,47.94
446,65.7,65.7,49.71,65.7,none,49.71
447,66.42,66.42,48.51,66.42,none,48.51
448,66.56,66.56,50.46,66.56,none,50.46
449,65.94,65.94,48.57,65.94,none,48.57
450,66.21,66.21,48.59,66.21,none,48.59
451,66.54,66.54,49.91,66.54,none,49.91
452,65.7,65.7,49.39,65.7,none,49.39
453,66.07,66.07,52.11,66.07,none,52.11
454,66.48,66.48,47.42,66.48,none,47.42
455,66.77,66.77,49.51,66.77,none,49.51
456,67.2,67.2,50.73,67.2,none,50.73
457,67.11,67.11,48.68,67.11,none,48.68
458,66.39,66.39,48.28,66.39,none,48.28
459,66.5,66.5,52.31,66.5,none,52.31
460,67.75,67.75,55.41,67.75,none,55.41
461,68.14,68.14,62.95,68.14,none,62.95
462,69.28,69.28,64.92,69.28,none,64.92
463,70.91,70.91,68.76,70.91,none,68.76
464,72.12,72.12,66.75,72.12,none,66.75
465,73.57,73.57,67.58,73.57,none,67.58
466,74.13,74.13,71.06,74.13,none,71.06
467,75.26,75.26,69.67,75.26,none,69.67
468,76.6,76.6,70.7,76.6,none,70.7
469,76.66,76.66,70.55,76.66,none,70.55
470,77.79,77.79,68.1,77.79,none,68.1
471,78.63,78.63,77.12,78.63,none,77.12
472,79.69,79.69,81.44,79.69,none,81.44
473,80.93,80.93,83.32,80.93,throttle,41.66
474,83.39,81.52333333333334,84.62,81.52333333333334,throttle,42.31
475,85.01,81.41000000000001,93.37,81.41000000000001,throttle,46.685
476,86.98,81.78000000000002,94.09,81.78000000000002,throttle,47.045
477,88.75,82.08333333333334,93.12,82.08333333333334,throttle,46.56
478,90.04,82.04000000000002,93.53,82.04000000000002,throttle,46.765
479,91.01,81.81000000000002,92.81,81.81000000000002,throttle,46.405
480,91.78,81.51333333333335,94.91,81.51333333333335,throttle,47.455
481,93.74,82.54,93.88,82.54,throttle,46.94
482,94.42,82.42000000000002,94.94,82.42000000000002,throttle,47.47
483,94.24,81.57333333333334,95.27,81.57333333333334,throttle,47.635
484,95.0,81.80000000000001,91.19,81.80000000000001,throttle,45.595
485,95.0,81.4,92.87,81.4,throttle,46.435
486,95.0,81.13333333333334,93.05,81.13333333333334,throttle,46.525
487,94.97,80.97,81.69,80.97,throttle,40.845
488,93.18,79.203,63.6,79.203,none,63.6
489,89.97,77.83666666666666,49.2,77.83666666666666,none,49.2
490,85.21,74.80999999999999,30.78,74.80999999999999,none,30.78
491,80.28,71.47999999999999,18.01,71.47999999999999,none,18.01
492,75.46,68.12666666666665,19.02,68.12666666666665,none,19.02
493,72.05,66.04999999999998,18.88,66.04999999999998,none,18.88
494,67.9,63.09999999999999,18.59,63.09999999999999,none,18.59
495,64.73,60.99666666666668,17.86,60.99666666666668,none,17.86
496,62.55,59.75000000000001,17.92,59.75000000000001,none,17.92
497,59.64,57.64000000000001,15.81,57.64000000000001,none,15.81
498,57.34,56.006666666666675,16.76,56.006666666666675,none,16.76
499,56.84,56.040000000000006,18.12,56.040000000000006,none,18.12
500,54.45,54.050000000000004,16.98,54.050000000000004,none,16.98
501,52.95,52.81666666666667,18.67,52.81666666666667,none,18.67
502,51.97,51.97,18.4,51.97,none,18.4
503,50.91,50.91,19.48,50.91,none,19.48
504,50.28,50.28,18.99,50.28,none,18.99
505,49.1,49.1,18.12,49.1,none,18.12
506,49.04,49.04,18.74,49.04,none,18.74
507,48.49,48.49,19.05,48.49,none,19.05
508,47.19,47.19,17.23,47.19,none,17.23
509,46.98,46.98,17.45,46.98,none,17.45
510,46.61,46.61,17.73,46.61,none,17.73
511,46.4,46.4,17.27,46.4,none,17.27
512,46.58,46.58,19.06,46.58,none,19.06
513,46.33,46.33,17.09,46.33,none,17.09
514,46.63,46.63,19.34,46.63,none,19.34
515,44.52,44.52,17.4,44.52,none,17.4
516,44.87,44.87,18.41,44.87,none,18.41
517,45.81,45.81,18.04,45.81,none,18.04
518,44.22,44.22,16.67,44.22,none,16.67
519,45.53,45.53,17.82,45.53,none,17.82
520,44.77,44.77,18.24,44.77,none,18.24
521,44.69,44.69,17.77,44.69,none,17.77
522,44.02,44.02,16.23,44.02,none,16.23
523,44.28,44.28,19.88,44.28,none,19.88
524,45.1,45.1,17.95,45.1,none,17.95
525,44.32,44.32,16.89,44.32,none,16.89
526,44.12,44.12,19.79,44.12,none,19.79
527,44.41,44.41,18.58,44.41,none,18.58
528,44.14,44.14,16.4,44.14,none,16.4
529,44.32,44.32,16.59,44.32,none,16.59
530,43.81,43.81,17.58,43.81,none,17.58
531,44.1,44.1,18.2,44.1,none,18.2
532,43.85,43.85,18.59,43.85,none,18.59
533,43.37,43.37,18.98,43.37,none,18.98
534,44.26,44.26,18.49,44.26,none,18.49
535,43.56,43.56,19.46,43.56,none,19.46
536,43.98,43.98,17.99,43.98,none,17.99
537,44.4,44.4,16.93,44.4,none,16.93
538,43.42,43.42,17.84,43.42,none,17.84
539,44.26,44.26,17.76,44.26,none,17.76
540,43.89,43.89,14.75,43.89,none,14.75
541,43.61,43.61,17.17,43.61,none,17.17
542,44.8,44.8,18.22,44.8,none,18.22
543,43.99,43.99,17.33,43.99,none,17.33
544,43.76,43.76,17.07,43.76,none,17.07
545,43.67,43.67,18.94,43.67,none,18.94
546,44.33,44.33,16.74,44.33,none,16.74
547,43.73,43.73,18.7,43.73,none,18.7
548,44.28,44.28,16.24,44.28,none,16.24
549,43.97,43.97,21.16,43.97,none,21.16
550,44.42,44.42,17.58,44.42,none,17.58
551,43.55,43.55,17.45,43.55,none,17.45
552,43.6,43.6,19.21,43.6,none,19.21
553,43.85,43.85,17.34,43.85,none,17.34
554,43.88,43.88,19.59,43.88,none,19.59
555,43.82,43.82,18.29,43.82,none,18.29
556,45.01,45.01,17.7,45.01,none,17.7
557,44.79,44.79,17.57,44.79,none,17.57
558,44.08,44.08,19.29,44.08,none,19.29
559,44.13,44.13,18.12,44.13,none,18.12
560,43.86,43.86,18.36,43.86,none,18.36
561,43.54,43.54,18.49,43.54,none,18.49
562,43.89,43.89,18.0,43.89,none,18.0
563,44.27,44.27,18.47,44.27,none,18.47
564,44.48,44.48,17.7,44.48,none,17.7
565,44.36,44.36,17.78,44.36,none,17.78
566,43.35,43.35,16.5,43.35,none,16.5
567,43.84,43.84,18.2,43.84,none,18.2
568,43.37,43.37,15.78,43.37,none,15.78
569,44.42,44.42,18.18,44.42,none,18.18
570,43.79,43.79,17.51,43.79,none,17.51
571,43.94,43.94,18.29,43.94,none,18.29
572,44.15,44.15,16.58,44.15,none,16.58
573,45.06,45.06,15.3,45.06,none,15.3
574,44.06,44.06,17.42,44.06,none,17.42
575,43.86,43.86,16.59,43.86,none,16.59
576,43.46,43.46,15.71,43.46,none,15.71
577,44.54,44.54,18.76,44.54,none,18.76
578,43.88,43.88,19.76,43.88,none,19.76
579,44.62,44.62,16.89,44.62,none,16.89
580,44.4,44.4,17.75,44.4,none,17.75
581,43.77,43.77,17.47,43.77,none,17.47
582,43.4,43.4,17.05,43.4,none,17.05
583,44.06,44.06,18.64,44.06,none,18.64
584,43.71,43.71,19.05,43.71,none,19.05
585,43.97,43.97,16.8,43.97,none,16.8
586,44.38,44.38,17.9,44.38,none,17.9
587,43.29,43.29,19.38,43.29,none,19.38
588,44.06,44.06,18.67,44.06,none,18.67
589,44.26,44.26,18.85,44.26,none,18.85
590,44.28,44.28,19.48,44.28,none,19.48
591,43.41,43.41,19.47,43.41,none,19.47
592,44.12,44.12,19.08,44.12,none,19.08
593,44.44,44.44,18.02,44.44,none,18.02
